Seq_ID	Novel_Marker_03053A	Novel_Marker_133162	Novel_Marker_639A41	Novel_Marker_7BE514	Novel_Marker_B91E67	Novel_Marker_C8E292	Novel_Marker_E10491	Novel_Marker_E9A25A	Novel_Marker_F8BE4B	Novel_Marker_FDAEAB
CH_OB1_01	X		X					X		X
CH_OB1_02	X		X					X		X
CH_OB1_03	X		X		X			X		
CH_OB1_04	X		X					X		X
CH_OB1_05	X							X		X
CH_OB1_06	X		X							X
CH_OB2_01	X			X			X	X		
CH_OB2_02	X			X			X	X		
CH_OB2_03	X	X		X				X		
CH_OB2_04	X			X			X	X		
CH_OB2_05	X						X	X		
CH_OB2_06	X			X			X			
CH_OB3_01			X					X	X	X
CH_OB3_02			X					X	X	X
CH_OB3_03			X		X			X	X	
CH_OB3_04			X					X	X	X
CH_OB3_05								X	X	X
CH_OB3_06			X						X	X
CP_OB4_01				X		X	X		X	
CP_OB4_02				X		X	X		X	
CP_OB4_03		X		X		X			X	
CP_OB4_04				X		X	X		X	
CP_OB4_05						X	X		X	
CP_OB4_06				X			X		X	
